# SOC,Actual SOC,Current,Calculated SOC ,Time,Time final
0.98744356,98.744356,12.49697399,98.69175607,7320.024087,419
0.987304048,98.7304048,12.49697399,98.67705374,7321.024087,420
0.987164535,98.7164535,12.49697399,98.66235142,7322.024087,421
0.987025025,98.7025025,12.49405887,98.6476491,7323.024087,422
0.986885512,98.6885512,12.49576562,98.63295021,7324.024087,423
0.986746001,98.6746001,12.49417111,98.61824931,7325.024087,424
0.986606493,98.6606493,12.49015918,98.60355028,7326.024087,425
0.986466985,98.6466985,12.49691127,98.58885598,7327.024087,426
0.986327474,98.6327474,12.49577259,98.57415373,7328.024087,427
0.98618796,98.618796,12.49548505,98.55945282,7329.024087,428
0.986048447,98.6048447,12.49697399,98.54475225,7330.024087,429
0.985908935,98.5908935,12.49204076,98.53004993,7331.024087,430
0.985769424,98.5769424,12.49124901,98.51535341,7332.024087,431
0.985629913,98.5629913,12.49526064,98.50065782,7333.024087,432
0.985490404,98.5490404,12.49697399,98.48595751,7334.024087,433
0.985350893,98.5350893,12.49697399,98.47125519,7335.024087,434
0.98521138,98.521138,12.49697399,98.45655287,7336.024087,435
0.985071866,98.5071866,12.49484429,98.44185055,7337.024087,436
0.984932354,98.4932354,12.49498012,98.42715073,7338.024087,437
0.984792844,98.4792844,12.49697399,98.41245075,7339.024087,438
0.984653332,98.4653332,12.49697399,98.39774843,7340.024087,439
0.984513818,98.4513818,12.49506878,98.38304611,7341.024087,440
0.984374302,98.4374302,12.4947557,98.36834603,7342.024087,441
0.984234789,98.4234789,12.49697399,98.35364632,7343.024087,442
0.984095276,98.4095276,12.4952371,98.33894399,7344.024087,443
0.983955766,98.3955766,12.49290657,98.32424371,7345.024087,444
0.983816254,98.3816254,12.49453125,98.30954618,7346.024087,445
0.983676744,98.3676744,12.49697399,98.29484673,7347.024087,446
0.983537232,98.3537232,12.49546152,98.28014441,7348.024087,447
0.983397716,98.3397716,12.49436282,98.26544386,7349.024087,448
0.983258202,98.3258202,12.49697399,98.25074461,7350.024087,449
0.983118685,98.3118685,12.49562977,98.23604229,7351.024087,450
0.982979171,98.2979171,12.49419466,98.22134155,7352.024087,451
0.982839656,98.2839656,12.49574192,98.2066425,7353.024087,452
0.982700147,98.2700147,12.49290657,98.19194162,7354.024087,453
0.982560635,98.2560635,12.49402643,98.17724409,7355.024087,454
0.982421121,98.2421121,12.49591034,98.16254523,7356.024087,455
0.982281602,98.2281602,12.49391419,98.14784416,7357.024087,456
0.98214208,98.214208,12.49697399,98.13314544,7358.024087,457
0.98200256,98.200256,12.49697399,98.11844312,7359.024087,458
0.981863046,98.1863046,12.49697399,98.10374079,7360.024087,459
0.981723532,98.1723532,12.49697399,98.08903847,7361.024087,460
0.981584018,98.1584018,12.49624728,98.07433615,7362.024087,461
0.981444502,98.1444502,12.4942473,98.05963468,7363.024087,462
0.981304986,98.1304986,12.50042744,98.04493557,7364.024087,463
0.981165473,98.1165473,12.4964152,98.03022918,7365.024087,464
0.98102596,98.102596,12.49340913,98.01552752,7366.024087,465
0.98088645,98.088645,12.49697399,98.00082939,7367.024087,466
0.980746937,98.0746937,12.49697399,97.98612707,7368.024087,467
0.980607424,98.0607424,12.49697399,97.97142474,7369.024087,468
0.980467918,98.0467918,12.49669597,97.95672242,7370.024087,469
0.9803284,98.03284,12.49290657,97.94202043,7371.024087,470
0.980188882,98.0188882,12.49307262,97.92732289,7372.024087,471
0.980049368,98.0049368,12.49686408,97.91262516,7373.024087,472
0.979909849,97.9909849,12.49296025,97.89792296,7374.024087,473
0.979770334,97.9770334,12.49697165,97.88322536,7375.024087,474
0.979630825,97.9630825,12.49697399,97.86852304,7376.024087,475
0.979491311,97.9491311,12.49302104,97.85382072,7377.024087,476
0.979351799,97.9351799,12.50070087,97.83912305,7378.024087,477
0.979212292,97.9212292,12.49335996,97.82441634,7379.024087,478
0.979072775,97.9072775,12.49290657,97.80971827,7380.024087,479
0.978933263,97.8933263,12.49290657,97.79502074,7381.024087,480
0.978793756,97.8793756,12.49657885,97.7803232,7382.024087,481
0.97865424,97.865424,12.49335766,97.76562134,7383.024087,482
0.978514727,97.8514727,12.49290657,97.75092327,7384.024087,483
0.978375217,97.8375217,12.49290657,97.73622574,7385.024087,484
0.978235708,97.8235708,12.49290657,97.7215282,7386.024087,485
0.978096196,97.8096196,12.49290657,97.70683066,7387.024087,486
0.977956683,97.7956683,12.49624233,97.69213312,7388.024087,487
0.977817174,97.7817174,12.49369433,97.67743166,7389.024087,488
0.977677664,97.7677664,12.49613001,97.6627332,7390.024087,489
0.977538146,97.7538146,12.49380656,97.64803187,7391.024087,490
0.977398632,97.7398632,12.49601785,97.63333327,7392.024087,491
0.97725912,97.725912,12.49086273,97.61863208,7393.024087,492
0.97711961,97.711961,12.49483701,97.60393694,7394.024087,493
0.976980099,97.6980099,12.49697399,97.58923713,7395.024087,494
0.976840581,97.6840581,12.4998616,97.57453481,7396.024087,495
0.976701069,97.6701069,12.49537998,97.55982909,7397.024087,496
0.976561555,97.6561555,12.4956812,97.54512865,7398.024087,497
0.976422041,97.6422041,12.49969326,97.53042784,7399.024087,498
0.976282529,97.6282529,12.49837935,97.51572232,7400.024087,499
0.97614302,97.614302,12.49436765,97.50101835,7401.024087,500
0.976003508,97.6003508,12.4954568,97.48631909,7402.024087,501
0.975863993,97.5863993,12.49697399,97.47161855,7403.024087,502
0.975724476,97.5724476,12.49453596,97.45691623,7404.024087,503
0.975584964,97.5584964,12.4952885,97.44221678,7405.024087,504
0.975445451,97.5445451,12.49464828,97.42751644,7406.024087,505
0.975305938,97.5305938,12.49517619,97.41281685,7407.024087,506
0.975166427,97.5166427,12.49697399,97.39811664,7408.024087,507
0.975026914,97.5026914,12.49697399,97.38341432,7409.024087,508
0.974887398,97.4887398,12.49487267,97.368712,7410.024087,509
0.974747882,97.4747882,12.49699743,97.35401215,7411.024087,510
0.974608371,97.4608371,12.50104237,97.3393098,7412.024087,511
0.974468861,97.4468861,12.50104237,97.32460269,7413.024087,512
0.974329346,97.4329346,12.50104237,97.30989558,7414.024087,513
0.97418983,97.418983,12.49922113,97.29518847,7415.024087,514
0.974050316,97.4050316,12.49697399,97.28048351,7416.024087,515
0.9739108,97.39108,12.49868313,97.26578119,7417.024087,516
0.973771284,97.3771284,12.50104237,97.25107685,7418.024087,517
0.973631771,97.3631771,12.49784918,97.23636974,7419.024087,518
0.973492254,97.3492254,12.49444674,97.22166639,7420.024087,519
0.973352738,97.3352738,12.49845825,97.20696704,7421.024087,520
0.973213225,97.3213225,12.49961392,97.19226297,7422.024087,521
0.973073712,97.3073712,12.49697399,97.17755755,7423.024087,522
0.972934194,97.2934194,12.49697399,97.16285522,7424.024087,523
0.972794671,97.2794671,12.49571421,97.1481529,7425.024087,524
0.97265515,97.265515,12.4941103,97.13345206,7426.024087,525
0.972515637,97.2515637,12.49697399,97.11875311,7427.024087,526
0.972376123,97.2376123,12.49588242,97.10405079,7428.024087,527
0.972236608,97.2236608,12.49290657,97.08934975,7429.024087,528
0.97209709,97.209709,12.49388589,97.07465221,7430.024087,529
0.971957575,97.1957575,12.49697399,97.05995352,7431.024087,530
0.971818059,97.1818059,12.49697399,97.0452512,7432.024087,531
0.971678537,97.1678537,12.49616302,97.03054888,7433.024087,532
0.971539019,97.1539019,12.49366129,97.01584751,7434.024087,533
0.971399504,97.1399504,12.49767204,97.00114908,7435.024087,534
0.971259991,97.1259991,12.50039999,96.98644594,7436.024087,535
0.971120475,97.1120475,12.49697399,96.97173959,7437.024087,536
0.970980958,97.0980958,12.49644353,96.95703726,7438.024087,537
0.970841443,97.0841443,12.49338082,96.94233557,7439.024087,538
0.970701922,97.0701922,12.49697399,96.92763747,7440.024087,539
